Investigation,Event_Date,Severity,Aircraft_damage,Aircraft_Category,Make,Model,Engines,Engine_Type,Purpose,Fatal,Serious,Minor,Uninjured,Weather,Event_Year
Accident,1982-01-01,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982
Accident,1982-01-01,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,1982
Accident,1982-01-02,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,1982
Accident,1982-01-02,Fatal,Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1982
Accident,1982-01-02,Fatal,Destroyed,Airplane,Navion,A,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1982
Accident,1982-01-02,Fatal,Destroyed,Airplane,Beech,19,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,1982
Accident,1982-01-02,Fatal,Destroyed,Airplane,Cessna,180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,1982
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,1982
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982
Incident,1982-01-03,Non-Fatal,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1982
Accident,1982-01-03,Fatal,Destroyed,Airplane,Grumman,AA-5B,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,1982
Accident,1982-01-03,Fatal,Destroyed,Airplane,Cessna,414A,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,1982
Accident,1982-01-03,Fatal,Destroyed,Airplane,Beechcraft,BE-58,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1982
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,1982
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,1982
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,1982
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,1982
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Air tractor,AT-301,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,1982
